,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_R2,split1_test_R2,split2_test_R2,split3_test_R2,split4_test_R2,mean_test_R2,std_test_R2,rank_test_R2,split0_test_EV,split1_test_EV,split2_test_EV,split3_test_EV,split4_test_EV,mean_test_EV,std_test_EV,rank_test_EV
12,0.34124011993408204,0.016905441236309396,0.02358670234680176,0.0013565013275144775,7,2,50,"{'max_depth': 7, 'min_samples_split': 2, 'n_estimators': 50}",0.012370972294959981,0.018696414343398526,0.01287969689987778,0.024791446791337934,0.020140274574901418,0.017775596194945304,0.004665773156581051,22,0.012915967888796342,0.018868093488234927,0.012891928560006316,0.024866102281506985,0.020377796202277088,0.0179838108559172,0.0045933584480147,21
13,0.6838684558868409,0.03810775711138478,0.046173620223999026,0.0031857874140994334,7,2,100,"{'max_depth': 7, 'min_samples_split': 2, 'n_estimators': 100}",0.013002592795991585,0.016329323719756372,0.012964909625699406,0.024285970392560752,0.02026021951125656,0.01736840168864718,0.004376067604932471,24,0.013444974667872422,0.01648728746570971,0.012967057811650973,0.024311699620942373,0.020468012756565623,0.017535602115374617,0.004317912070976575,24
14,1.3905958175659179,0.06908033793842266,0.08936996459960937,0.00792220198400917,7,2,200,"{'max_depth': 7, 'min_samples_split': 2, 'n_estimators': 200}",0.013331448924694289,0.017099396316317406,0.014096002800138563,0.02541915171263276,0.021671743048024883,0.018323315220443278,0.004601156621085778,14,0.01380571142032061,0.017305340993458485,0.014111154832240791,0.02544225223261609,0.021872627304904246,0.018507182830960735,0.004523226853983039,14
15,0.35628423690795896,0.02867712160452344,0.025586986541748048,0.0020548415234243472,7,5,50,"{'max_depth': 7, 'min_samples_split': 5, 'n_estimators': 50}",0.011816226771431237,0.016415707812485136,0.0143764150167639,0.025430612411615594,0.02245986060615035,0.01809946066306603,0.005078116868481646,18,0.012302502963963846,0.0166228983762714,0.014383475743675267,0.025471629507346716,0.02267039779141189,0.018289875613664294,0.004993114631430154,18
16,0.6538906097412109,0.02833686354053281,0.04437475204467774,0.0030706339877872293,7,5,100,"{'max_depth': 7, 'min_samples_split': 5, 'n_estimators': 100}",0.013860356498978765,0.01811687914312332,0.014180316803044546,0.024955822756364654,0.02039878842266718,0.018302286627149594,0.00413340147396695,15,0.01435843917468238,0.018285769729379342,0.014196988542321876,0.024987994068133124,0.020662846333072915,0.01849825672703667,0.0040617829313387265,15
17,1.377414608001709,0.10094591289778429,0.0873502254486084,0.005311076589319181,7,5,200,"{'max_depth': 7, 'min_samples_split': 5, 'n_estimators': 200}",0.013011435397176085,0.01623878493423725,0.014617686492275683,0.02511394853846738,0.01992363636490968,0.017780949029222573,0.004324388215388591,21,0.013503105281388872,0.01640823995629226,0.014634126315597906,0.02514628144387565,0.020144113694238186,0.017967021624545495,0.004236759254625439,22
18,0.32947373390197754,0.01732633159068224,0.023386716842651367,0.0026517632743435215,7,7,50,"{'max_depth': 7, 'min_samples_split': 7, 'n_estimators': 50}",0.012613893585834757,0.01848693559289405,0.012895557115770617,0.02381089946310544,0.020493233643862574,0.01765990643588875,0.004352275465178661,23,0.013080027677064399,0.018649917865078303,0.012896301243532471,0.023843971954942367,0.020642041147776014,0.017822255476935098,0.004281463578007443,23
19,0.7470702171325684,0.05499699170647799,0.047772884368896484,0.002133715785420966,7,7,100,"{'max_depth': 7, 'min_samples_split': 7, 'n_estimators': 100}",0.013820761168646278,0.01765178836426018,0.014214739693457101,0.02402917762319834,0.021228185677481748,0.018188718695862974,0.003962610970192561,17,0.01437128224659101,0.01783113718106366,0.014219049082250579,0.024066422877978666,0.021395683647130848,0.018376504611251326,0.0038759860347655,17
20,1.3646021366119385,0.03580810061287555,0.08275303840637208,0.0033684500325232456,7,7,200,"{'max_depth': 7, 'min_samples_split': 7, 'n_estimators': 200}",0.014103917682847134,0.017066457285359715,0.014899090375939061,0.02402540506120987,0.02099151846831082,0.018217084434382524,0.003759986296607931,16,0.014589879669111627,0.017244745954687613,0.014925634463537896,0.024055866292823525,0.021232190472803114,0.018409466665100932,0.0036860402139655152,16
21,0.3377416133880615,0.03932863582779935,0.023986244201660158,0.003631407861799903,7,10,50,"{'max_depth': 7, 'min_samples_split': 10, 'n_estimators': 50}",0.012162703468269531,0.01751376862941001,0.01415713592055634,0.0254309656086934,0.020466119408454553,0.017945962986420178,0.004698298077639274,19,0.01271330060703324,0.01765677510367558,0.014169287650803386,0.025457517278122066,0.020700951013625346,0.018139387824506338,0.004594751948166767,19
